originalEntry	fuzzyMatchedEntry	fuzzyMatchScore
fresh pond tree	fresh pond greenway	82
airport trail- hidden in a stump	clay head trail	86
mott trail system	payne farm trail	58
cemetery	settler's rock	45
near bottom of "lonely stairs" in a wall near a tree with signs like: hogwarts, winterfell, etc. off beacon hill road	beacon hill	60
under signage tree in the enchanted loop	enchanted forest	86
sign tree in nathan mott park	nathan mott park	90
airport (in bushes)	block island state airport	55
loffredo loop on my birthday!!	loffredo loop	90
wedged between tree trunks at turnip farm on lofferdo loop and westside rd,	turnip farm	90
dodge cemetary	win dodge	86
ct ave greenway trail	bi greenway	86
tree notch near middle earth	scotch beach	52
payne farm/ fresh swamp	fresh swamp	90
black rock weather station	black rock beach	86
greenway spur near beacon hill	beacon hill	90
lighthouse	southeast light	60
old mill rd by horses in rock wall	black rock beach	86
dorie's cove	cow cove	86
liotto	harrison loop	54
path in rodman's hollow	rodman's hollow	90
trail to north lighthouse	north light	90
middle earth(??)	vaill beach	52
artin's trail	martin's point	67
hodge nature preserve	hodge property	86
greenway trail off ct ave.	bi greenway	86
path to north light	north light	90
greenway-fresh swamp	fresh swamp	90
ragged sailor building alley under hydrangeas	new harbor	51
clay head trailside	clay head trail	88
in a tree along clayhead trail	clay head trail	87
tree on harrison trail before middle earth	clay head trail	86
tree trunk	ball o' brien park	48
end of rodman's hollow trail at black rock point in a hold under a rock	rodman's hollow	90
fresh pound	fresh pond greenway	86
old mill rd	hodge family wildlife preserve	55
blockislanf	block island state airport	82
marsh hawk hollow in stone wall	rodman's hollow	86
nathan mott trail stone wallcorner	clay head trail	86
ocean view pavillion	ocean view pavilion	97
behind 'god bless usa" sign at sit your butt or take a putt	win dodge	50
greenway trail (tree stump)	bi greenway	86
lewis-dickens farm trail	lewis-dickens farm	95
win dodge preserve, tree, near entrance	win dodge	90
bingo prize	ball o' brien park	50
farmer's market	andy's way	86
winn dodge	win dodge	95
beach ave loop	fred benson town beach	86
maze trail	clay head trail	86
spring street gallery in the tree poetry box	spring pond	86
sit your butt or take a putt	surf beach	45
2nd bluff	mohegan bluffs	70
the hodge family preserve	hodge family wildlife preserve	86
across from the labyrinth	sacred labyrinth	86
greenway trail enchanted forest	enchanted forest	90
inside cannon (baby size float)	baby beach	86
sunset beach	dorry's cove beach	86
enchanted forest path in branches up high	enchanted forest	90
roiles harbor beach off clayhead trail	clay head trail	87
beacon hill greenway trail	beacon hill	90
charlestown beach	charlestown beach	100
rodman's hollow, heading towards fresh pond	rodman's hollow	90
clayhead trail, base of a tree	clay head trail	86
shoreline just e. of settler's rock	settler's rock	90
mott trail	clay head trail	86
beginning of greenway: enchanted forest	enchanted forest	90
rodmans hollow short loop	harrison loop	86
under bridge on clayhead trail	clay head trail	87
nathan mott greenway	bi greenway	86
nathan mott memorial park	nathan mott park	86
enchanted forest in an old log	enchanted forest	90
at the labyrinth behind the painted rock in the sculpture garden. it was a rainy day.	black rock beach	86
head of nathan mott trail	clay head trail	86
win-dodge in a tree	win dodge	90
dodge family wildlife preserve	hodge family wildlife preserve	97
clayead trail	clay head trail	93
the maze, inside cedar tree	the maze'	90
near the pavilion	the maze'	86
the maze, at base of tree	the maze'	90
library, front yard	abrams animal farm	43
tennis courts	lewis point	50
enchanted forest, inside tree trunk at a dead end	enchanted forest	90
alleyl by rebecca's	andy's way	86
clayhead trail in tree	mohegan trail	86
clay head trail in a tree	clay head trail	90
martin lots near old mill red.	martin's point	86
southeast light house	southeast light	95
greenway between old mill and cooneymus	bi greenway	86
labrynth	sacred labyrinth	68
cannon base	mansion beach	58
dory's cove beach	dorry's cove beach	97
gifted by clever friends	dickens point	46
fresh pond trail off of rodman's hollow in large tree at path intersection	rodman's hollow	90
under some trail shrubbery at an intersection somewhere between enchanted forest and turnip farm	enchanted forest	90
rodmans hollow area	rodman's hollow	82
payne rd greenway	bi greenway	86
inside tree-greenway	bi greenway	86
rocks mansion beach foundation	mansion beach	90
beans point	balls point	82
mansion beach by rocks	mansion beach	90
fence line at strings and things	spring pond	66
in a rock wall on clayhead trail	clay head trail	87
ocean ave	ocean view pavilion	86
peter woods greenway park in tree	ball o' brien park	86
on side road under a hollow of a tree leading into the maze	the maze'	90
settler's rock shoreline	settler's rock	90
greenway off lakeside dr.	bi greenway	86
beach road trail	baby beach	86
crescent beach	crescent beach	100
firehouse bingo	bi greenway	44
enchanted woods	enchanted forest	77
pebble beach	dorry's cove beach	86
mohegan trail	mohegan trail	100
ocean view hotel	ocean view pavilion	73
between two graves at main island cemetary	block island state airport	86
sea grass mohegan bluffs	mohegan bluffs	90
fresh swamp by payne rd	fresh swamp	90
bridge near mansion beach	mansion beach	90
mohegan bluffs lobster trap	mohegan bluffs	90
playground at the school	the maze'	86
greenaway path old town road	old harbor point	86
stone wall in the old graveyard on corn neck rd	old harbor point	86
southeast point	southwest point	93
park near ferry boat dock	nathan mott park	86
negus park	ball o' brien park	86
ocean view pavilion trail	ocean view pavilion	95
tree downtown off water street	bi greenway	47
walkers welcome path mohegan trail	mohegan trail	90
in a tree habor church park	ball o' brien park	86
tree at indian cemetary	tilson cove	50
cooneymus beach under a log crossing the freshwater stream/waterfall	cooneymus beach	90
horse farm on old mill rd.	old harbor point	86
meadow greenway trail	bi greenway	86
to the right of nathan mott (enchanted forest) trail in a stonewall	enchanted forest	90
black rock parking lot	settler's rock	86
under granite bench on old dunn property	hodge property	86
scotch	scotch beach	90
win-dodge presrve	win dodge	90
southside beacon hill road greenway trail	beacon hill	90
maze near laphams	the maze'	86
abrams' animal farm	abrams animal farm	97
in the stone wall along corn neck rd	the maze'	86
under the bench at the grass triangle where pilot hill and spring st meet	beacon hill	86
surf hotel beach	baby beach	86
atwood	logwood cove	60
gift: cooneymus beach in a bush	cooneymus beach	90
stairs to the sacred labyrinth	sacred labyrinth	90
playground tree	sacred labyrinth	49
under a loose board on clay head trail	clay head trail	90
inside the barrel of the cannon at legion park	ball o' brien park	86
inside mill stone on corner of old town & center road	fred benson town beach	86
fred benson town beach among some rocks	fred benson town beach	90
clayhead in a root!!! :)	clay head trail	61
west beach, block island	west beach	90
the daffodils	the maze'	86
west beach near north point	west beach	90
greenway off cooneymus	bi greenway	86
turnstile up from smilin' thru in a cedar tree in open field	harrison loop	56
dinkel mazzur cemetery	the maze'	56
lewis dickenson farm	lewis-dickens farm	95
under bridge on clayhead	clay head trail	63
middle pond	fresh pond greenway	86
bi bicycle tour qr #4	bi greenway	86
clayhead trail base of tree	clay head trail	86
on the rocks at scotch beach	scotch beach	90
on the beach behind a large rock near mansion beach road and the crescent cottages	mansion beach	90
hodge preserve- corn neck rd.	hodge property	86
flower walk	fresh swamp	45
john dodge cemetery road	win dodge	86
flower trail	mohegan trail	64
end of breakwater, entrance into great salt pond	great salt pond	90
stone wall near fresh pond	fresh swamp	86
small garden behind club soda	ballard's beach	60
dickens farm trail	turnip farm	86
greenway off payne rd.	bi greenway	86
martin's trail	martin's point	71
loffredo loop : beginning of trail in a tree crevice	loffredo loop	90
ocean view park	ocean view pavilion	76
breed property trail	mohegan trail	86
tin can in ruins	martin's point	47
ocean view	ocean view pavilion	90
john e. tughole	rodman's hollow	47
enchanted forest beacon hill trail	beacon hill	90
clayhead trail at base of tree	clay head trail	86
northern clayhead :)	clay head trail	59
clay head trail beach	clay head trail	95
in the field near the beginning of the fresh swamp trail	fresh swamp	90
mott trail head	clay head trail	76
rodman's hollow in brush under a pine tree	rodman's hollow	90
rodman's hollow under a tree	rodman's hollow	90
in a tree stump on clayhead trail	clay head trail	87
beach on the great salt pond behind aka house	great salt pond	90
stump on harrison trail	clay head trail	86
tiny cemetery down the neck(sands cemetery?)	the maze'	86
lewis-dickens farm trial	lewis-dickens farm	95
bluestone	charlestown beach	61
greenway between beacon hill road and west side road	beacon hill	90
in a tree at clayhead trail head.	clay head trail	86
dickens rd under metal ring	dickens point	86
win dodge reserve	win dodge	90
turnip farm greenway	turnip farm	90
settler's rock beach	settler's rock	95
wedged in a tree in the turnip farm	turnip farm	90
hodges nature preserve	hodge family wildlife preserve	65
crabapple tree in front of harbor church	new harbor	86
coast guard station	clay head trail	53
overlook path off mohegan trial	mohegan bluffs	86
corn neck rd in stone wall near beautiful tree by mitchell farm	abrams animal farm	86
black sand trail	clay head trail	71
legion hall cannon (took an hour to get out)	beacon hill	58
windodge	win dodge	94
settler's rock	settler's rock	100
great salt pond under walkeay	great salt pond	90
elizabeth dickens	dickens point	66
block island park	block island state airport	86
skate park	ball o' brien park	86
path to fresh pond from rodman's hollow	rodman's hollow	90
block island graveyard tree	block island state airport	60
trail between cooneymus rd and lakeside dr	clay head trail	86
andys way	andy's way	95
mott trail in a maple tree	clay head trail	86
trails between beacon hill rd and old mill rd	beacon hill	90
in veterans park	nathan mott park	53
legion park- farmers market	ball o' brien park	86
under stairs by gazebo	andy's way	45
mansion beach foundations	mansion beach	90
path across from big red barn on beacon hill rd	beacon hill	90
bach trail	clay head trail	86
heinz field	hodge family wildlife preserve	50
indian cemetery rock wall	black rock beach	86
west side rd	west beach	55
hodge's wildlife preserve	hodge family wildlife preserve	91
fork in fresh swamp trail	fresh swamp	90
walking trail between cooneyymus and old mill road	clay head trail	86
stonewall at end of hodge preserve	hodge property	86
fresh pond loop	fresh pond greenway	76
wind dodge reserve	win dodge	86
path to cooneymus beach	cooneymus beach	90
dodge family preserve, stone foundation	win dodge	86
north mouth of the great salt pond, donated to rita at the 1661 inn, you can see it there!	great salt pond	90
north dump beach	baby beach	86
martin property	hodge property	69
gaffney trail/in tall grass by white fense	clay head trail	86
rock wall on service rd b/t corn neck rd and north end of clay head trail	clay head trail	90
farmers market	the maze'	49
gafffney trail on top of stone wall	clay head trail	86
brick wall on corn neck road	andy's way	50
enchanted forest (found june 2017)	enchanted forest	90
rodmans hollow, long loop up in a tree	harrison loop	86
near turnip farm/ hiking trail off old mill rd	turnip farm	90
gifted to me by a friend who found it.	spring pond	55
lakeside dr	lewis-dickens farm	45
near beach head	baby beach	86
meadow hill greenway on old town road in bottom of hollow/rotton tree in beginning of path	fred benson town beach	86
along shoreline of hodge family wildlife preserve	hodge family wildlife preserve	90
stink stack of outhouse by southeast light house	southeast light	90
black rock overlook	black rock beach	73
turnip farm trail	turnip farm	90
on the beach off of clayhead trail	clay head trail	87
beginning of nathan mott trail	clay head trail	86
clay head trail in brush past beach access	clay head trail	90
freeway trail	payne farm trail	66
tree stump	fresh swamp	57
past toms point, bi	balls point	86
rodman's hollow bench	rodman's hollow	95
in the canon	the maze'	86
bottom fork of tree on greenways path	bi greenway	74
rock wall off lakeside drive.	black rock beach	86
near fresh pond monument	fresh swamp	86
trail off west side road	clay head trail	86
stone wall on path to rodmans hollow from old mill road	old harbor point	86
spring st and pilot hill rd	beacon hill	86
stone wall at peckham pond	great salt pond	86
enchanted forest on old mill rd	enchanted forest	90
grove point	lewis point	64
floating in harbor pond	great salt pond	86
beach ave. trail	baby beach	86
right side of north light on beach	north light	90
by beach access to baby beach	baby beach	90
entrance to southeast lighthouse	southeast light	90
spring street	spring pond	67
parking lot of the mohegan bluffs	mohegan bluffs	90
in a plant in front of library	martin's point	55
the putting green near mohegan bluffs in one of the holes	mohegan bluffs	90
attwood overlook in a bush	payne overlook	86
corner pilot hill & spring	beacon hill	86
walkway @ the bluffs	the maze'	86
lakeside greenway trail	bi greenway	86
cooneymus rd	cooneymus beach	82
in the flower garden across the street from the national	the maze'	86
st andrews stone wall chapel st	lewis point	50
geocaching at mansion in rock statue	black rock beach	86
in my bed! (gifted)	dinhgy beach	45
under a bush in rodman's hollow	rodman's hollow	90
green way trail under wooden bridge	andy's way	86
between dories cove and cooneymus beach	cooneymus beach	90
cemetary next to the big tomb	the maze'	86
rodmans hollow- right of black rock rd in stone wall	black rock beach	86
on ground by path at rodman's hollow thanksgiving 2016	rodman's hollow	90
take a putt	block island state airport	51
robin hollow in meadow	meadow hill	86
enchanted	enchanted forest	90
harrison loop in tree stump	harrison loop	90
tree branch harrison loop	harrison loop	90
harrison trail between west side road and beacon hill	beacon hill	90
robman hollow path right of black rock rd in meadow	black rock beach	86
trail near turnip farm	turnip farm	90
clayhead in a tree	clay head trail	67
under rope at north lighthouse beach	north light	90
north light house	north light	90
enchanted forest : small side trail up a hill next to stone wall	enchanted forest	90
north light beach in a tall upright piece of driftwood	north light	90
north light house at very tip or beach between 2 logs	north light	90
little free library @ the skate park	ball o' brien park	86
path to north lighthouse in grasses	north light	90
in the cannon at legion park	ball o' brien park	86
clayhead trail (maze)	mohegan trail	86
overlook wall	payne overlook	72
sahara's field	ballard's beach	48
behind driftwood on north lighthouse beach	north light	90
payne overlook	payne overlook	100
heinz field on top of porta potty	tilson cove	50
north lighthouse beach	north light	90
great salt pond to beacon hill	beacon hill	90
cooneymus rd.	cooneymus beach	82
water line west of north light right of settlers rock	north light	90
ocean view garden	ocean view pavilion	72
block island's mansion beach	mansion beach	90
pavilion	ocean view pavilion	90
town beach	charlestown beach	90
lewis dickens farm preserve	lewis-dickens farm	90
hodge wildlife reserve	hodge property	86
martin lots	martin's point	76
hodge preserve parking area	hodge property	86
clayhead trail hidden in shrubs	clay head trail	86
hodge family wildlife preserve stone wall	hodge family wildlife preserve	95
clay head trail overlook	clay head trail	90
clayhead trail perched in a tree	clay head trail	86
stone wall along clayhead trail	clay head trail	87
clayhead and then catch and released on black rock	black rock beach	86
rodman's hollow side trail	rodman's hollow	90
toy boat race	grace's cove	53
payne road greenway in tall grass	bi greenway	86
winfield preserve	hodge family wildlife preserve	86
rocks by the boat dock	the maze'	86
payne road greenway broken	bi greenway	86
near fresh pond	fresh pond greenway	76
floating in a duck pond	great salt pond	86
hole in wall by mansion beach parking lot	mansion beach	90
greenway entrance old mill rd.	bi greenway	86
greenways	fresh pond greenway	85
mosquito beach?	mosquito beach	100
jim gaffney greenway	bi greenway	86
greenway between old mill and beacon hill	beacon hill	90
mansion ruins	mansion beach	66
peter wood's trail	andy's way	86
hodge greenway	hodge family wildlife preserve	86
mill pond rd	fresh pond greenway	86
legion hall cannon	beacon hill	58
next to compost bin, public gardens atop hill in new shoreham	new shoreham	90
tire on west beach	west beach	90
art installation at hodge preserve	hodge property	86
near paul garra memorial bench	vaill beach	58
rodman's trails	andy's way	86
loffredo preserve on top of birdhouse	loffredo loop	86
off old mill rd	ball o' brien park	42
greenway trail off beacon hill in a rock wall	beacon hill	90
in a stonewall on a side trail in rodmans hollow	rodman's hollow	87
connecting trail between black rock and long loop in rodman's hollow	rodman's hollow	90
greenway by p.woods	bi greenway	86
wild life refuge	hodge family wildlife preserve	68
mansion	mansion beach	90
entrance of tulip and avatar	turnip farm	50
romans hollow	rodman's hollow	93
greenway trail fp	bi greenway	86
greenway trail off of beacon hill	beacon hill	90
rodmens hollow	rodman's hollow	90
darius inn in the creeping hydrangea	the maze'	86
block island club	block island state airport	86
the greenway, center rd	bi greenway	86
rodhams hollow	rodman's hollow	83
block rock	black rock beach	86
bi playground	spring pond	50
monument	mosquito beach	45
wall corner of old mill rd and west side road	old harbor point	86
gracie's cove	grace's cove	96
clay head trail at the beach entrance	clay head trail	90
fresh water preserve	fresh swamp	86
in the bushes at a rodman's hollow overlook	rodman's hollow	90
center st. cemetery against a tombstone	settler's rock	51
overlook trail	payne overlook	69
small trail off of cooneymus rd	clay head trail	86
the post office	the maze'	86
back seat of truck	settler's rock	53
lakeside drive	hodge family wildlife preserve	47
center st. cemetery foot of tombstone	settler's rock	51
turnip farms	turnip farm	96
nathan mott park trail under a rock	nathan mott park	90
behind north light sign, in a plant	north light	90
beach ave.trail	baby beach	86
nathan mott park & turnip farm	nathan mott park	90
arts & craft guild	payne farm trail	42
greenway near street	bi greenway	86
park	ball o' brien park	90
oceanview pavillion	ocean view pavilion	95
hodge entrance	hodge family wildlife preserve	86
blue stone at clay head trail	clay head trail	90
american legion post 36	lewis point	58
bi nat. wildlife refuge, near labyrinth	bi greenway	86
beach at clay head trail	clay head trail	90
bi wildlife refuge trail	bi greenway	86
clay head trail (under footbridge)	clay head trail	90
clayhead trail near trail merge	clay head trail	86
clay head hill trail	clay head trail	95
fresh swamp and payne farm trail	fresh swamp	90
clay head nature trail. left side under the brush	clay head trail	86
gazebo at ocean view	ocean view pavilion	66
next to rock on greenway	bi greenway	86
fresh swamp & payne farm trail	fresh swamp	90
bagel shop	ballard's beach	48
driftwood log at the entrance to ocean view	ocean view pavilion	86
ocean view pavilion inside ornamental grass bush	ocean view pavilion	90
hodge preserve near fence post	hodge property	86
bingo	spring pond	57
the legion hall cannon	the maze'	86
spring street, 'art garden' near bench under tree	spring pond	86
chamber of commerce	cow cove	56
clayhead traik	clay head trail	90
on beach, southeast of little sachem pond under a mesh screen	sachem pond	90
clayhead trails off the main path	the maze'	86
rodmans hollow stone wall	rodman's hollow	86
greenway trails	bi greenway	80
marsh hawk hollow in center of tree stump	rodman's hollow	86
mohegan bluff overlook	mohegan bluffs	86
marsh hawk hollow up in a tree	rodman's hollow	86
in tree on greenway trails	bi greenway	86
end of dump road	andy's way	43
greenway trail #3 in a stump	bi greenway	86
enchanted forrest in a hollow tree	enchanted forest	86
high meadow greenway	bi greenway	86
"northern lights" poem box at a cow cove	cow cove	90
bench at the tranfer station	the maze'	86
behind historical society	balls point	50
east of fresh water pond	fresh swamp	86
salt water pond	great salt pond	76
greenway off beacon hill rd.	beacon hill	90
inside giant drift tree on coast guard jeti	dickens point	49
in a potted christmas catus in airport lobby	block island state airport	86
greenway trails by payne rd	bi greenway	86
hodge preserve trail	hodge family wildlife preserve	86
lewis dickens	lewis-dickens farm	95
beach ave trails	baby beach	86
trail off of west side road across from peckhams	clay head trail	86
hollow log, walking south from west beach rd	west beach	90
windodge greenway	bi greenway	86
town cemetery	fred benson town beach	86
atop porta potty heinz field	lewis point	47
path off old mill rd	ball o' brien park	47
emily dickens	dickens point	66
on the ground in the greeenway off of conneymus road	the maze'	86
in a tree of on the greenway off of conneymus road	bi greenway	86
rodman hollow side trail	clay head trail	86
lewis dickson reserve	lewis point	86
gaffney greenway, on a stump	bi greenway	86
greenway off old mill rd in crook of tree	bi greenway	86
nathan mott park/enchanted forest	enchanted forest	90
harrison's loop	harrison loop	95
old mill side trail going into rodman's hollow under grass	rodman's hollow	90
lewis dickens reserve sign in box	dickens point	86
in the flower boxes outside of the post office	the maze'	86
hodge family preserve trail	clay head trail	86
emily dickens trail	dickens point	66
hollowed out tree stump meadow hill	meadow hill	90
coneymus ed in the wall	the maze'	86
greenway on old mill road under brush	bi greenway	86
block island	block island state airport	90
united states	block island state airport	56
in a tree @ old mill greenway	bi greenway	86
enchanted forest entrance on old mill road in a tree	enchanted forest	90
southeast lighthouse overlook	southeast light	90
beach access path	baby beach	86
behind rock sign for north lighthouse beach	north light	90
near north light trail parking	north light	90
legion park canon	ball o' brien park	50
great salt pond across from coast guard beach	great salt pond	90
library	bi greenway	44
southeasr lighthouse window	southeast light	84
coast guard cut, block island	block island state airport	60
greenaway trail	bi greenway	62
enchanted forest, near year-round pond	enchanted forest	90
ocean view foundation pavilion in a tree	ocean view pavilion	86
harrison loop, in the nook of a tree.	harrison loop	90
clay head trail tucked in vines	clay head trail	90
mott park area / airport	nathan mott park	86
mott park, in a rock wall	black rock beach	86
near airport	block island state airport	86
off old mill road	loffredo loop	45
rodman's hollow in some rocks	rodman's hollow	90
in the canon legion park	nathan mott park	86
near harrison loop	harrison loop	95
mott trail near bench	mohegan trail	86
greenaway in grasses	bi greenway	70
rodman's hollow behind stone marker	rodman's hollow	90
greenway path off beacon hill rd	beacon hill	90
n41 09.580 w071 36.126	andy's way	27
enchanted forest cart way	enchanted forest	90
turnip farm greenway entrance in rocks	turnip farm	90
re-hidden on 4/30/16	new shoreham	45
off old mill rd greenway	bi greenway	86
rodman's hollow-loop by black rock	rodman's hollow	90
loefflers loop	loffredo loop	74
mill stone at center rd and old town rd	fred benson town beach	86
2nd bluffs path in tree	mohegan bluffs	86
greenway close to cooneymus road	bi greenway	86
old town road	fred benson town beach	86
enchanted forest in hollowed out tree	enchanted forest	90
snake hole rd.	rodman's hollow	54
motts trail	mohegan trail	67
meadow hill trail in a tree covered in vines	meadow hill	90
motts park	ball o' brien park	86
fresh swamp trail in stone wall!	fresh swamp	90
cooneymus beach in a lobster trap	cooneymus beach	90
cooneymus beach hidden in log wall	cooneymus beach	90
trail off payne rd	payne farm trail	78
cemetery- up in a tree!	bi greenway	45
dunn's bridge path	andy's way	86
negus park in a tree	ball o' brien park	51
trims pond trail	mohegan trail	62
cemetery stone wall	andy's way	45
west beach by north light	north light	90
the indian cemetery momument	the maze'	86
beach in front of north light in a pile of rocks	north light	90
southeast lighthouse tower window sill	southeast light	90
sit your but or take a putt	surf beach	45
on the beach just in front of the north lighthouse.	north light	90
east bank of sachem pond	sachem pond	90
attwood overlook, next to a tree.	payne overlook	86
ocean view pavilion (rafters)	ocean view pavilion	95
black rock beach	black rock beach	100
grace point	dickens point	67
park at harbor pond	new harbor	86
black rock in a lobster pot	black rock beach	86
the trail leading to andy's way	andy's way	90
romans hollow, hidden in a bush!	rodman's hollow	86
greenway of cooneymus road	bi greenway	86
greenway off cooneymus road	bi greenway	86
coast guard station trail to breakwater new harbor	new harbor	90
marsh hawk hallow	rodman's hollow	56
greenway trails-wooden box near beacon hill	beacon hill	90
greenway trails beacon hill rd in thicket of bush	beacon hill	90
fresh swamp walking trail	fresh swamp	90
in hole of mantassean monumnet	lewis point	50
cemetery by fresh pond	fresh swamp	86
scotch beach entrance	scotch beach	90
mansion beach tied up in a sack in a tree	mansion beach	90
mott farm trail	payne farm trail	76
west beach under rim	west beach	90
mott park (close to airport)	ball o' brien park	86
tree at fresh pond	fresh swamp	86
greenaway trails	bi greenway	59
in a hollow log on cooneymus	cooneymus beach	86
scotch beach trail	scotch beach	90
scotch beach access path	scotch beach	90
under bridge at fresh pond	fresh swamp	86
fresh pond under tree roots	fresh swamp	86
west beach-breed property	west beach	90
floating in fresh pond	fresh swamp	86
crescent beach trail from corn neck rd	crescent beach	90
trail off payne rd.	payne farm trail	78
first path on right going towards mohegan bluffs	mohegan bluffs	90
the block island ferry boat	the maze'	86
wlkers welcome path off mohegan trail	mohegan trail	90
greenway trail meadow hill	meadow hill	90
west beach, south of west beach road, under large driftwood	west beach	90
massion beach	mansion beach	92
north of mansion beach	mansion beach	90
west beach, west of middle pond under large driftwood 06/04/2015	west beach	90
trail by north light	north light	90
on a greenway in a tree	bi greenway	86
old town road greenway	bi greenway	86
field off west side rd	west beach	86
sign at paynes overlook	payne overlook	86
under rock at rodman's hollow parking area	rodman's hollow	90
turnip farm greenway entrance, to the left of the gate behind a rock	turnip farm	90
green way off old mill rd	andy's way	86
in my backpack!	dinhgy beach	54
turnip farm in a bush	turnip farm	90
re-hidden on 5/28/16	new shoreham	45
enchanted forest, old mill side, in a tree	enchanted forest	90
rock wall on clay head trail	clay head trail	90
the maze, in a tree. not sure exactly where, as it was night.	the maze'	90
in a tree, turnip farm	turnip farm	90
enchanted forest in the base of a tree clump	enchanted forest	90
rodmans hallow	rodman's hollow	90
on the path of clay head trail	clay head trail	90
rodman's/black rock	andy's way	86
trail to maze	the maze'	86
near farm	abrams animal farm	86
harrison trail; hidden in a tree	clay head trail	86
ballard's beach	ballard's beach	100
in the sand on west beach	west beach	90
greenway off of beacon hill road. in a rock.	beacon hill	90
rodmans hollow, long loop	harrison loop	86
payne greenway	bi greenway	80
across from airport	abrams animal farm	51
turnip farm area stone wall	turnip farm	90
next to the enchanted forest resting inside a tree	enchanted forest	90
graces beach	dorry's cove beach	86
greenway path off of cooneynus	bi greenway	86
rodmans hollow turnip farm in a broken tree stump.	turnip farm	90
snake hole rd	rodman's hollow	54
old millard trail	clay head trail	59
trail south of peter woods, old mill road	clay head trail	86
behind peter woods off old mill road	old harbor point	86
cooneymus beach, in a driftwood log hollow, covered with sand	cooneymus beach	90
cooneymus beach in plastic container	cooneymus beach	90
se point	dickens point	86
gracy's cove	grace's cove	92
cooneymus beach/ dory's cove in driftwood log	cooneymus beach	90
mohegan bluffs, in lobster trap	mohegan bluffs	90
beacon hill greenway area	beacon hill	90
southeast	southeast light	90
stairs on moghan bluffs	mohegan bluffs	86
west beach near north lighthouse.	north light	90
half-buried in sand near the north lighthouse	north light	90
south of grace's cove entrance	grace's cove	90
rock wall foundation of the win dodge preserve	win dodge	90
between schooner point and dickens point in lobster pot	dickens point	90
on the beach below mohegan bluffs-- against a rock, partiallly buried in clay	mohegan bluffs	90
ocean view- eaves of gazebo	ocean view pavilion	66
duval	vaill beach	54
greenway harrison loop	harrison loop	90
harrison trail in tree	harrison loop	86
in the enchanted forest to the left of the enchanted forest sign in a rock wall	enchanted forest	90
north light beach buried in sand	north light	90
the labyrinth	the maze'	86
grace's cove pond	grace's cove	95
enchanted forest, hilltop rock wall	enchanted forest	90
enchanted forest, on ground among downed,cleared branches	enchanted forest	90
in tidal debris north of the old cut on the great salt pond	great salt pond	90
clay head trail entrance to beach.	clay head trail	90
winfield dodge stonewall	win dodge	86
beacon hill greenway- in an tree stump	beacon hill	90
ocean view on a memorial stone with compass setting.	ocean view pavilion	86
mohegan bluffs beach	mohegan bluffs	95
intersection of old town road and center street.	fred benson town beach	86
mansion beach in the foundation of the mansion	mansion beach	90
northwest beach, south of north light	north light	90
on sand of west beach	west beach	90
sign at mohegan bluffs	mohegan bluffs	90
corn neck rd	crescent beach	46
steps going down to moghean bluffs	mohegan bluffs	86
clay head trail, base of tree	clay head trail	90
clay head trail, in a dead tree	clay head trail	90
inside engine block on west beach	west beach	90
trail before point	balls point	86
old harbor	old harbor point	90
north light house beach	north light	90
island free library in a flower pot	lewis point	54
great salt pond south of bi club	great salt pond	90
clayhead, begining of the path in a fallen log	the maze'	86
between surf beach and town beach	surf beach	90
southeast lighthouse, outside on the windowsill by the ramp	southeast light	90
charlestown beach inside driftwood log	charlestown beach	90
boat basin beach	baby beach	86
marsh by andy's way	andy's way	90
beach heading to north light	north light	90
airport/mott trail	block island state airport	53
clayhead trail in a tree	clay head trail	86
end of mohegan bluff stairs in rock pile	black rock beach	86
mohegan bluffs -- in a tree; found on may 23, 2014	mohegan bluffs	90
rock wall at mansion beach	mansion beach	90
vaill beach	vaill beach	100
on a boulder on a greenway trail near black rock beach	black rock beach	90
off clayhead trail under a log	clay head trail	86
black rock overlook in a stump	black rock beach	86
stone wall on pilot hill rd.near the school	beacon hill	86
bluff above black rock beach	black rock beach	90
mosquito beach, washed ashore	mosquito beach	90
enchanted forest behind a rock	enchanted forest	90
off enchanted forest path, taking a left at the top of the hill, under a tree.	enchanted forest	90
dorrey's cove	cow cove	86
inside lobster trap on dorry's cove beach	dorry's cove beach	90
between dorries and gracies	grace's cove	60
west beach on a rusty tire rim	west beach	90
enchanted forest in wall at entrance	enchanted forest	90
on the bluffs at clayhead	mohegan bluffs	86
mohegian bluff overlook	payne overlook	86
dorries	dorry's cove beach	64
west beach/ dump road	west beach	90
west beach, near north light	north light	90
graces cove pond	cow cove	86
west beach, close to north light	north light	90
south of the north light west beach side	north light	90
gracies	grace's cove	77
in a tree in the enchanted forest	enchanted forest	90
greenway trail airport	bi greenway	86
dories	enchanted forest	60
near turnip farm on greenway	turnip farm	90
way up in a tree	andy's way	86
turnip farm entrance	turnip farm	90
the unenchanted forest	the maze'	86
pots&kettles area	lewis point	63
mansion beach under rock pile	mansion beach	90
entrance to mansion beach	mansion beach	90
next to fence in clayhead	clay head trail	63
southwest point beach/ cooneymus rd	southwest point	90
