Location	NumTimesListed
under rope at north lighthouse beach	1
coast guard beach in a hollow log	1
north light house	1
enchanted forest : small side trail up a hill next to stone wall	1
north light beach in a tall upright piece of driftwood	1
north light house at very tip or beach between 2 logs	1
little free library @ the skate park	1
manisseans monument stone across from fresh pond	1
path to north lighthouse in grasses	1
in the cannon at legion park	1
clayhead trail (maze)	1
overlook wall	1
sahara's field	1
behind driftwood on north lighthouse beach	1
payne overlook	1
heinz field on top of porta potty	1
north lighthouse beach	1
great salt pond to beacon hill	1
harrison trail	1
cooneymus rd.	1
water line west of north light right of settlers rock	1
jim gaffney trail	1
block island's mansion beach	1
pavilion	1
dorry's cove	1
town beach	1
lewis dickens farm preserve	1
charleston beach found 7/6/2017	1
mansion rd. beach parking lot in a tree	1
hodge preserve in a tree down by middle pond	1
clay head	1
hodge wildlife reserve	1
martin lots	1
hodge preserve parking area	1
side path off clayhead trail by pond	1
clayhead trail hidden in shrubs	1
hodge family wildlife preserve stone wall	1
clay head trail overlook	1
clayhead trail perched in a tree	1
stone wall along clayhead trail	1
clayhead and then catch and released on black rock	1
