originalEntry	fuzzyMatchedEntry	fuzzyMatchScore
fire department	fire department	100
mohegan bluffs	mohegan bluffs	100
beach avenue trail	beach avenue	90
hodge preserve,in a tree	hodge preserve	90
mohegan bluffs stairway	mohegan bluffs	90
west beach road	west beach	90
golden grove / settlers rock	black rock beach	86
path near scotch beach	scotch beach	90
hodge preserve trailside	hodge preserve	90
west beach, 50m north of the fence end in a hoary mugwort plant	west beach	90
dickens trail	elizabeth dickens trail	90
southeast lighthouse	southeast light	86
fred benson town beach in the rocks	fred benson town beach	90
town fountain	fred benson town beach	86
clayhead trail	clay head trail	97
south east lighthouse rock	black rock beach	86
indian monument across from hog pen!	'indian' cemetery	86
legion park in a tree	legion park	90
path to andy's way	andy's way	90
new harbor road bridge	new harbor	90
fence in front of hodge family wildlife preserve	hodge family wildlife preserve	90
scotch beach	scotch beach	100
base of the dunes on the beach at end of clayhead trail	clay head trail	87
tree in front of harbor church	new harbor	86
greenaway by peter woods house	greenaway	90
stone wall ocean ave before depot	ocean view pavilion	86
crescent beach (across from oyster store)	crescent beach	90
dinghy beach	dinhgy beach	92
andy's way path	andy's way	90
west beach	west beach	100
path to scotch beach	scotch beach	90
great salt pond near the channel	great salt pond	90
across the channel from the coast guard station	coast guard station	90
crescent beach between town and scotch	crescent beach	90
mohegan bluff near overlook	attwood overlook	86
rodmans hollow	rodman's hollow	97
pebbly beach	block island state beach	86
greenway trail	greenway trail	100
spring pond area	spring pond	95
island cemetery, next to a grave	island cemetery	90
south side of center road on greenway trail	greenway	90
vfw park	ball o' brien park	86
hodge preserve ,in a tree	hodge preserve	90
tree in harrison trail	harrison trail	90
tom's point under bench	tom's point	90
jetty rocks near crescent beach and ferry	crescent beach	90
dinghey beach	dinhgy beach	88
entrance of path to scotch beach	scotch beach	90
the rona! harrison trail	harrison trail	90
‘rona orb in the lobster trap tree	the maze	86
ocean house	ocean view pavilion	86
elizabeth dickens trail	elizabeth dickens trail	100
clay head maze	the maze	86
old mill near nathan mottt	nathan mott park	86
grace cove	grace's cove	95
sachem pond/ hodge family preserve rock wall	sachem pond	90
greenway trail near harrison loop	greenway	90
dickenson trail	elizabeth dickens trail	86
greenway next to beacon hollow farm off beacon hill road	beacon hill	90
cooneymus cove	cow cove	86
community garden mosaic near ocean view pavilion	ocean view pavilion	90
middle earth, inside a pile of rocks	middle earth	90
in a tree. greenway trail that runs from payne to lakeside	greenway	90
meadow hill trail	meadow hill	90
greenway trails, on the back side of a tree, in a hollowed out piece where another limb use to be	greenway trail	90
beach at north light in driftwood	north light	90
john dodge cemetery	dodge cemetery	95
small section of greenway trail off payne road.	greenway	90
meadow hill trail apple tree	meadow hill	90
tree near horse farm	mitchell farm	86
greenway	greenway	100
in my bike helmet at scotch beach	scotch beach	90
martin trail	martin trail	100
beacon hill trail	beacon hill	90
beacon hill trail / enchanted forest in a tree trunk!	beacon hill	90
enchanted forest beacon hill	beacon hill	90
in between rocks at entrance to greenway trail	greenway	90
beacon hill and old milll trail	beacon hill	90
fresh swamp trail	fresh swamp	90
o'brien park, little free library box	library	90
ocean pavilion	ocean view pavilion	95
harrison loop in a tree	harrison loop	90
legion way in a tree	andy's way	86
enchanted forest in tree	enchanted forest	90
log wood cove (west side beach between north light and dump))	north light	90
rodman hollow/old mill trail in a rock wall	rodman hollow	90
on the floor of our jeep in the parking lot at nathan mott park	nathan mott park	90
center	visitor center	90
mansion beach parking area	mansion beach	90
dory's beach	block island state beach	86
grace's cove	grace's cove	100
grace's beach	block island state beach	86
beacon hill rd., trail	beacon hill	90
top of stairs at mohegan bluffs	mohegan bluffs	90
beacon hill greenway	beacon hill	90
greenway trail across from rodman's hollow	greenway	90
greenway trail off payne rd.	greenway	90
greenway trail. nathan mott park	greenway	90
old mill	old mill road	90
north light beach	north light	90
turnip trail	elizabeth dickens trail	86
beacon hill road greenway	beacon hill	90
loffredo loop on trail to dodge cemetary	loffredo loop	90
solveiken property	solviken	79
green way off cooneymus rd. in tall grass	andy's way	86
gaffney trail	gaffney trail	100
greenway south beacon hill	beacon hill	90
enchanted forest old milll rd	enchanted forest	90
loffredo loop, in the tall grass	loffredo loop	90
in a clump of golden rod gaffney trail	gaffney trail	90
greenway between old mill road and dodge cemetery	dodge cemetery	90
turnip farm, loffredo loop in a tree at sunset!	loffredo loop	90
mohegan bluffs lookout trail	mohegan bluffs	90
old mill road, in a bush	old mill road	90
dickens path in tree	dickens point	86
in a tree enchanted forest	enchanted forest	90
bottom of broken stairs by overlook	attwood overlook	86
long lot trail	long lot trail	100
dickens farm	lewis-dickens farm	90
andy's way behind a log	andy's way	90
winfield dodge farm	turnip farm	86
end of a fallen tree in the maze	the maze	90
dodge cemetery greenway	dodge cemetery	90
north light	north light	100
gracie cove	grace's cove	87
nathan mott park trail, in large tree	nathan mott park	90
win dodge preserve, with gods blessing	win dodge	90
the maze in a kalmia latifolia	the maze	90
enchanted forrest	enchanted forest	97
in notch of trees on hyland trail	hyland trail	90
sandy point	spar point	76
across from cemetery	dodge cemetery	69
mansion beach access road	mansion beach	90
ball o'brien park	ball o' brien park	97
hodge family preserve	hodge family wildlife preserve	95
trustrum dodge memorial	dodge cemetery	86
andy's way in the grass to the left once on beach	andy's way	90
nathan mott trail in a tree.	mott trail	90
tree on legion way outside of oark	andy's way	86
sachem pond	sachem pond	100
walkway to scotch beach	scotch beach	90
andy's way	andy's way	100
clayhead maze	the maze	86
long lot trail off corn neck	long lot trail	90
rodman's hollow, in a tree!	rodman's hollow	90
longwood cove	logwood cove	96
sacred labyrinth	sacred labyrinth	100
legion park	legion park	100
rodmans hollow, in a tree	rodman hollow	86
meadow hills	meadow hill	96
pilot hill road	pilot hill road	100
mansion beach	mansion beach	100
highland trail	elizabeth dickens trail	86
airport diner	airport	90
ocean view pavillion in a pile of bricks	ocean view pavilion	86
west side	west beach	63
beach avenue bridge	beach avenue	90
cannon	cannon at legion park	90
long lot, the maze	the maze	90
fresh pond trail	fresh pond	90
greenway off cooneymus rd, magellan's tree trail	greenway	90
benson beach	block island state beach	86
the maze in a pine tree	the maze	90
the maze in a tree	the maze	90
on private trail headed to clayhead trail	clay head trail	87
maze/ clayhead	the maze	86
island cemetery	island cemetery	100
long lot trail @ mazewe were	long lot trail	90
long lot trail in a tree	long lot trail	90
long trail pond	elizabeth dickens trail	86
old mill greenway	greenway	90
dorry's cove entryway	dorry's cove	90
somewhere in the maze...	the maze	90
dorry's cove grass	dorry's cove	90
dorrie's cove	dorry's cove	88
rock wall in the maze	the maze	90
dorry's cove	dorry's cove	100
long lot path in a stone wall	long lot trail	86
lewis dickens preserve	dickens point	86
dory's cove	dorry's cove	96
win dodge preserve behind tree in leaves	win dodge	90
path to baby beach	baby beach	90
win dodge preserve trail	win dodge	90
win dodge foundation trail under a tree in the brush	win dodge	90
the maze on clay head trail	clay head trail	90
clay head trail in the maze, in tree	clay head trail	90
maze, in a tree	the maze	86
dorry's cove, next to a rock	dorry's cove	90
long lots trail/clayhead trail	clay head trail	87
behind a rock on clayhead trail	clay head trail	87
dories cove	dorry's cove beach	86
rodman's hollow / on trail to old mill road	old mill road	90
beach near crescent beach cottages, between scotch and mansion. we re-hid it.	crescent beach	90
scotch beach near crescent beach cottages	crescent beach	90
mohegan bluffe	mohegan bluffs	93
mohegan bluff	mohegan bluffs	96
green gables	greenway	68
hanted forest	enchanted forest	90
graces cove	grace's cove	96
mansion beach entrance walkway	mansion beach	90
martins lot	martin's point	80
new loop at clay head trail in a tree	clay head trail	90
clay head trail at maze entrance trail marker	clay head trail	90
cooneymus	cooneymus beach	90
north light house beach, under/ behind a log	north light	90
payne farm trail	payne farm trail	100
greenway trail across from fresh pond	fresh pond	90
entangled in fishermen's nets and rope on ballard's beach	ballard's beach	90
rock wall leading to greenway near rodman's hollow on cooneymus rd.	rodman's hollow	90
coast guard beach	coast guard beach	100
lewis dickens farm trail	lewis-dickens farm	95
grace's cove, under a rock cairn	grace's cove	90
turn left on the hill on the mott trail.	mott trail	90
nathan motts sign	nathan mott park	73
300 yards into greenway trail off beacon hill	beacon hill	90
pilot hill road pond	pilot hill road	95
mohegan trail walking path	mohegan trail	90
bench near old mill marker	old harbor point	86
stone wall at andy's way	andy's way	90
wind dodge cemetery	dodge cemetery	95
southwest point beach	southwest point	95
beach avenue trail in a rock wall just off the trail	beach avenue	90
beacon hill rd greenway	beacon hill	90
nathan mott park (behind a rock in crevice)	nathan mott park	90
rodman's hollow rock wall y	rodman's hollow	90
payne road greenway	payne road greenway	100
clay head	clay head trail	90
lewis dickens farm	lewis-dickens farm	100
hyland trail in drain pipe	hyland trail	90
andy's way beach	andy's way	90
long lot trail- stone wall	long lot trail	90
martin lot	martin property	86
hollow	marsh hawk hollow	90
the point	barlow's point	86
under a piece of driftwood at the poiny	cannon at legion park	86
rodman hallow	rodman hollow	92
rodman's hollow bluffs lookout	rodman's hollow	90
end of elizabeth dickens trail	elizabeth dickens trail	95
rock wall in middle earth	middle earth	90
beane point	beane point	100
greenway trail, uphill trail off of beacon hill rd.	beacon hill	90
mohican bluff	mohegan bluffs	81
found between old mill road trail on way to cemetery etary in a tree	old mill road	90
north lighthouse	north light	81
dingy dock	dinhgy beach	64
on the back side of stone wall at fresh pond (pumpkin float!)	fresh pond	90
clay head trail (pumpkin)	clay head trail	90
between mansion and scotch buried in sand (pumpkin)	mansion beach	86
indian cemetery	'indian' cemetery	97
greenway lakeside drive	greenway	90
bluffs	mohegan bluffs	90
attwood overlook	attwood overlook	100
grace's cove beach	grace's cove	90
nathan mott park/ loredo loop	nathan mott park	90
end of hyland trail	hyland trail	90
dingy beach	dinhgy beach	96
inside the cannon!	the maze	86
end of coast guard beach under a log in a fort	coast guard beach	90
harrison loop trail between island cemetery and beacon hill rd	beacon hill	90
jim gaffney walk by fresh pond	fresh pond	90
greenway across from fresh pond	fresh pond	90
coastguard beach	coast guard beach	97
the maze (north of clay head trail) in a hollowed tree limb	clay head trail	90
west beach in a tire	west beach	90
dorrys cove	dorry's cove	96
rodman's hollow behind a trail sign	rodman's hollow	90
greenway trail by horse farm	greenway	90
american legion memorial pole	legion park	86
vaill beach trail	vaill beach	90
magellan's tree	andy's way	86
black rock trails	black rock beach	73
end of win dodge in stone wall heading out to dickens farm road	win dodge	90
rodman hollow near black rock path	rodman hollow	90
jones trail rodman's hollow	rodman's hollow	90
fresh pond reserve	fresh pond	90
rothman's hollow	rodman's hollow	90
trail off west side rd., heading into rodman's hollow	rodman's hollow	90
rodman's hallow	rodman's hollow	93
fresh pond greenway	fresh pond	90
rodman's hollow, at intersection of coastal trail	rodman's hollow	90
black rock bluff	black rock beach	75
jones trail in rodman's hollow	rodman's hollow	90
fresh pond greenway in depression in tree	fresh pond	90
rodman hallows	rodman hollow	89
rodman's hollow short loop at the base of a tree	rodman's hollow	90
south east beach	baby beach	86
n end of fresh pond	fresh pond	90
rodman hollow-jones trail	rodman hollow	90
greenway trail: in a stone wall	greenway	90
rock wall rodman's hollow	rodman's hollow	90
rodman hollow	rodman hollow	100
between vail beach and mohegan bluffs in the seaweed	mohegan bluffs	90
indian cemetary	'indian' cemetery	90
fred benson beach	fred benson town beach	95
site of the spring street pump house plaque	spring street	90
solvieken dog water fountain	solviken	79
mohegan trail/pilot hill intersection in a tree	mohegan trail	90
esta's park	ball o' brien park	86
west side beach	baby beach	86
rodman's hollow trailhead	rodman's hollow	90
corn neck rd in yellow moss rock wall next	black rock beach	86
in wall at hodge preserve	hodge preserve	90
fresh pond rock wall	fresh pond	90
gracies cove	grace's cove	92
greenway trail off old mill road under the steps going over the rock wall	greenway trail	90
short trail off of beach avenue	beach avenue	90
martin lots in stonewall	martin property	86
haunted trail	elizabeth dickens trail	86
drift wood coast guard beach	coast guard beach	90
square stone wall off of cooneymus	cooneymus beach	86
grass coast guard beach	coast guard beach	95
592 old mill road trail	old mill road	90
meadow hill greenway	greenway	90
square stone wall in greenway off cooneymus rd	greenway	90
win dodge, in tree by trail sign	win dodge	90
winfield dodge foundation	dodge cemetery	86
greenway trail off of beacon hill rd	beacon hill	90
access path to scotch beach	scotch beach	90
sacred labrynth	sacred labyrinth	90
old mill in a rock pile	old mill road	86
greenway trail, 20 yards east of lakeside drive	greenway	90
in a tree	spring street	64
inside muffler at beach on west beach rd	west beach	90
nathan mott trail above the trail marker map	mott trail	90
entrance to payne farm trail	payne farm trail	90
black rock	black rock beach	90
on beach to the left off path from andy's way	andy's way	90
the vale, bi	the maze	86
greenway trail off payne rd	greenway	90
foundation off of cooneymus rd.	cooneymus beach	86
near lewis-dickens farm sign	lewis-dickens farm	90
dory cove beach	dorry's cove beach	91
near the statue of hebe (cupbearer to the gods at mount olympus)	block island chamber of commerce	86
comings greenway	greenway	90
win dodge preserve (in rock wall near foundation)	win dodge	90
clay head trails	clay head trail	97
win dodge in the wall	win dodge	90
dorries cove	cow cove	86
school	block island public school	90
win dodge presv.	win dodge	90
path to west beach (breed's lot)	west beach	90
trail off pilot hill road	pilot hill road	90
swamp/ we love you	fresh swamp	86
wedged in dune fencing at edge of second mohegan bluffs	mohegan bluffs	90
mosquito beach	mosquito beach	100
beach at the end of clayhead trail	clay head trail	87
brick chimney on west beach	west beach	90
west beach, northern section	west beach	90
in stone wall on greenway off beacon hill rd.	beacon hill	90
marsh trail off beacon hill road	beacon hill	90
enchanted forest/old mill behind a tree	enchanted forest	90
near dinghy beach	baby beach	86
crescent beach access- north of benson	crescent beach	90
ballard's beach jetty	ballard's beach	95
enchanted forest (near beacon hill trail in hollowed out tree trunk)	beacon hill	90
beacon hill	beacon hill	100
mohegan bluffs overlook behind bike rack	mohegan bluffs	90
hyland trail deadend	hyland trail	90
state beach	block island state beach	90
old mill road path	old mill road	95
meadow hill greenway trail	greenway	90
wrack line, cow cove	cow cove	90
turnip farm parking lot puddle	turnip farm	90
dickens preserve	hodge family wildlife preserve	86
block island historical society	block island historical society	100
dingy beach in great salt pond	great salt pond	90
rodman's hollow by loop trail	rodman's hollow	90
green way trail	greenway trail	97
long lot connector to clayhead trail	clay head trail	87
kings lot	long lot trail	86
path of old hotel	block island chamber of commerce	86
our bike helmet at the fresh swamp trail- someone so kind left it for us!!!so	fresh swamp	90
canon	cannon at legion park	72
in a tree on a walking path off beach avenue	beach avenue	90
sunfish at andy's way	andy's way	90
turnip farm trail off of old mill road	old mill road	90
vail beach	vaill beach	95
greenway off of cooneymas	greenway	90
greenway trail off of lakeshore drive	greenway	90
rodman's hollow, in a tree	rodman's hollow	90
greenway trail between beacon hill rd. & old mill rd.	beacon hill	90
in town	fred benson town beach	86
jones trail, rodman's hollow	rodman's hollow	90
mohegan bluffs stairs	mohegan bluffs	90
greenway trail fresh water pond in a stone wall crevice	greenway	90
2nd bluffs near railing	mohegan bluffs	86
circle of rocks on mansion beach	mansion beach	90
west beach in a chimney	west beach	90
dodge farm	abrams animal farm	86
grace's cove on top of the fort	grace's cove	90
harrison trail	harrison trail	100
mohegan stairs	mohegan trail	81
second bluffs trail	hyland trail	86
trail across from fresh pond	fresh pond	90
middle earth	middle earth	100
the greenway off of beacon hill road	beacon hill	90
cooneymus beach next to waterfall	cooneymus beach	90
old mill rd greenway	greenway	90
in water hogpen new harbor	new harbor	90
hodge preserve pond	hodge preserve	95
dicken's point	dickens point	96
crook of tree at mitchell farm	mitchell farm	90
drift wood tipi near north light	north light	90
rodman's hollow black rock beach overlook	black rock beach	90
murphy's trail	elizabeth dickens trail	86
sign at southeast lighthouse	southeast light	90
bike rack across from baby beach	baby beach	90
high street stone wall	spring street	86
rock wall near block island school	black rock beach	86
old mill road stone wall (greenway trail)	greenway	90
john e pond	fresh pond	64
island cemetary	island cemetery	93
near harborside inn	new harbor	72
memorial bench in old harbor	new harbor	86
marsh trail off beacon hill	beacon hill	90
in tree on clayhead trail	clay head trail	87
dorry's cove, under seas grass and sticks	dorry's cove	90
behind the surf restaurant	surf beach	86
second bluffs	mohegan bluffs	67
fresh pond behind a tree	fresh pond	90
peckham farm road	turnip farm	86
north light upper path	north light	90
nathan mott park in hollowed out log	nathan mott park	90
win dodge rock wall	win dodge	90
behind rocks on harrison trail before middle earth	harrison trail	90
fresh pond preserve greenway	fresh pond	90
fresh pond canoe launch at waters bank in grass	fresh pond	90
stone wall near beachead picnic area	ballard's beach	66
greenway by fresh pond	fresh pond	90
dickens point	dickens point	100
jim gaffney trail	jim gaffney trail	100
hyland trail under tree near a stone wall covered with branches	hyland trail	90
hyland trail in a tree	hyland trail	90
loffredo loop...in the branches of the big beautiful tree :)	loffredo loop	90
behind rock wall on the maze trail	the maze	90
rodman's hollow stuck in a tree on the rough road	rodman's hollow	90
the maze, behind a small tree	the maze	90
nathan mott park on 7/29	nathan mott park	90
hodge family wildlife reserve (in a tree)	hodge preserve	86
the maze, in a rock wall	the maze	90
rodman jollow	rodman hollow	92
the maze, in a giant rhododendron bush	the maze	90
fred benson town beach	fred benson town beach	100
marsh hollow	marsh hawk hollow	95
andies way	andy's way	80
greenway trail. will rehide #95	greenway	90
by the water bottle refill station on corn neck road	corn neck road	90
nathan mott park (big tree)	nathan mott park	90
the enchanted forrest, high up in a tree	enchanted forest	86
hodge	hodge family wildlife preserve	90
the cannon	cannon at legion park	86
spring street gallery	spring street	90
logwood cove- in a log	logwood cove	90
gafney trail	gaffney trail	96
on the beach at the north lighthouse	north light	90
meadow greenway	greenway	90
fred benson snack bar	fred benson town beach	70
dunn bridge	dunn's bridge	95
baby beach	baby beach	100
short trail off of mohegan trail	mohegan trail	90
enchanted forest behind a rock wall	enchanted forest	90
turnip farm behind small road sign at an intersection	turnip farm	90
scotch beach- last beach access	scotch beach	90
ball o'brien park tennis courts	ball o' brien park	86
the hyland trail	hyland trail	95
murphy trail	elizabeth dickens trail	86
west of north light	north light	90
bluffs, under some rocks	mohegan bluffs	86
fresh swamp trail- in tree branches	fresh swamp	90
site of ocean view hotel under wooden boardwalk.	ocean view pavilion	86
john r. dodge cemetery	dodge cemetery	90
tree by fresh pond	fresh pond	90
locker room chamber of commerce	block island chamber of commerce	79
grace's cove beach under a log (had to dig a little)	grace's cove	90
carey lot by the bear (??)	long lot trail	86
behind mohegan bluff monument stone	mohegan bluffs	86
visitor center atm	visitor center	95
path to dodge cemetary in a tree	dodge cemetery	86
in a tree at the ocean view foundation	cannon at legion park	86
path in front of water street inn	spring street	86
settlers rock	settler's rock	96
harrison trail in tree near west side rd	harrison trail	90
haunted forest	enchanted forest	87
crescent beach walkover	crescent beach	90
mohegan bluffs under bench	mohegan bluffs	90
carey lot	long lot trail	86
pilot hill	pilot hill road	90
outside beachhead	surf beach	63
hodge preserve	hodge preserve	100
mohegan bluff sign	mohegan bluffs	88
southwest point	southwest point	100
in grass behind the turnip farm sign	turnip farm	90
greenway path off of old mill rd	greenway	90
in tree off airport trail	airport	90
rodman's holkow	rodman's hollow	93
rodman's hollow, in a pine tree trunk	rodman's hollow	90
hodge property	hodge property	100
long lot trail, somewhere in the maze	long lot trail	90
harrison trail before middle earth in tree notch	harrison trail	90
under a bench across from town hall	fred benson town beach	86
middle earth (??)	middle earth	100
marsh hawk hollow in a tree stump	marsh hawk hollow	90
greenway trail off of cooneymus	greenway	90
under a log, greenway, beacon hill	beacon hill	90
rocks by bike rack at the top of the mohegan bluffs	mohegan bluffs	90
rodman's hollows in tree	rodman's hollow	90
rodman's hollow in a dead tree stump	rodman's hollow	90
the narragansett inn	the maze	86
laredo loop	loffredo loop	83
hiking trail	elizabeth dickens trail	86
jetty across from the national in the rocks	the maze	86
american legion park	legion park	90
tree	spring street	90
mailbox at labyrinth	sacred labyrinth	68
rodmans hollow behind concrete sign	marsh hawk hollow	86
great salt pond coast	great salt pond	95
airport greenway trail	airport	90
tree stump mansion beach parking lot	mansion beach	90
hodge wildlife preserve	hodge family wildlife preserve	95
just off trail that turns right near rodman hollow parking lot	rodman hollow	90
path to mohegan bluff overlook	attwood overlook	86
fresh pond overlook	fresh pond	90
path to coast guard beach	coast guard beach	95
greenway off old mill road	greenway	90
ocean view pavilion	ocean view pavilion	100
greenway-fresh swamp trail	fresh swamp	90
greenway trail off old mill road in a tree	greenway	90
conneymus beach	cooneymus beach	93
greenway trail old mill	greenway	90
under a rock below middle earth sign	middle earth	90
greenway trail (off lakeside dr)	greenway	90
under cannon	cannon at legion park	86
block island cemetery	island cemetery	95
nathan mott greenway- stonewall	greenway	90
nathan mott park trail	nathan mott park	95
the canon at the veterans' monument	cannon at legion park	86
block island school	block island public school	95
hodge family wildlife reserve	hodge family wildlife preserve	98
winn dodge preserve	hodge family wildlife preserve	86
cooneymus beach behind a huge rock	cooneymus beach	90
winfield dodge	win dodge	86
winfield dodge preserve	dodge cemetery	86
rodman's hollow,on ground...1/4 mi. from entrance	rodman's hollow	90
cooneymus beach	cooneymus beach	100
american legion	legion park	67
greenway trail off old mill	greenway	90
greenway south off old mill rd	greenway	90
foundation at winn dodge	dodge cemetery	86
under bench at end of pilot hill road	pilot hill road	90
nathan mott park in a tree!	nathan mott park	90
behind tree rodman's hollow short loop	rodman's hollow	90
greenway trail by airport	airport	90
north end block island	north light	86
beacon hill road greenway trail	beacon hill	90
beacon hill doc willis's stone wall	beacon hill	90
coast guard beach walkway	coast guard beach	95
enchanted forest bi	enchanted forest	95
hole in manisses cemetery sign	dodge cemetery	86
harrison loop in the base of a tree	harrison loop	90
rodman hollow trail map case	rodman hollow	90
charleston beach	charlestown beach	97
fresh pond trails	fresh pond	90
marsh hawk hollow trail	marsh hawk hollow	95
path off of old mill road	old mill road	90
on clay head trail in tall grass near the north end of the trail	clay head trail	90
rodman's hollow long loop	rodman's hollow	90
beacon hill greenway trail, in a stone wall	beacon hill	90
driftwood near jetty at charleston beach	charlestown beach	87
barlow's pt.	barlow's point	88
clayhead trl	clay head trail	89
off of old mill rd on greenway trail	greenway	90
fresh pond in a tree	fresh pond	90
snake hole	snake hole road	90
rodman's holow	rodman's hollow	97
post office	post office	100
nathan mott park, stone wall	nathan mott park	90
the hodge greenway trail	greenway	90
fresh pond tree	fresh pond	90
airport trail- hidden in a stump	airport	90
mott trail system	mott trail	90
cemetery	dodge cemetery	90
near bottom of "lonely stairs" in a wall near a tree with signs like: hogwarts, winterfell, etc. off beacon hill road	block island chamber of commerce	86
under signage tree in the enchanted loop	enchanted forest	86
sign tree in nathan mott park	nathan mott park	90
airport (in bushes)	airport	90
loffredo loop on my birthday!!	loffredo loop	90
wedged between tree trunks at turnip farm on lofferdo loop and westside rd,	turnip farm	90
dodge cemetary	dodge cemetery	93
ct ave greenway trail	greenway	90
tree notch near middle earth	middle earth	90
payne farm/ fresh swamp	fresh swamp	90
black rock weather station	black rock beach	86
greenway spur near beacon hill	beacon hill	90
fresh pond tree near cemetery	fresh pond	90
old mill rd by horses in rock wall	black rock beach	86
greenway trail off old mill rd	greenway	90
