Location	NumTimesListed
stone wall at andy's way	1
wind dodge cemetery	1
southwest point beach	1
fresh swap trail off the field	1
beach avenue trail in a rock wall just off the trail	1
beacon hill rd greenway	1
nathan mott park (behind a rock in crevice)	1
new trail off carey lot	1
rodman's hollow rock wall y	1
walkers welcome -in tree	1
payne road greenway	1
clay head	1
lewis dickens farm	1
hyland trail in drain pipe	1
andy's way beach	1
long lot trail- stone wall	1
martin lot	1
hollow	1
west side beach under logs	1
in a log on the beach near the northern lighthouse	1
west end beach, cuttyhunk island, ma	1
under a piece of driftwood at the poiny	1
rodman hallow	1
state beach, in an overturned lifeguard chair	1
end of elizabeth dickens trail	1
walkers way	1
cooneymus road -thru turns stile	1
rock wall in middle earth	1
beane point	1
greenway trail, uphill trail off of beacon hill rd.	1
found between old mill road trail on way to cemetery etary in a tree	1
martin's lot/trail in a tree trunk	1
dingy dock	1
on the back side of stone wall at fresh pond (pumpkin float!)	1
clay head trail (pumpkin)	1
between mansion and scotch buried in sand (pumpkin)	1
pettit lot	1
indian cemetery	1
greenway lakeside drive	1
bluffs	1
attwood overlook	1
grace's cove beach	1
nathan mott park/ loredo loop	1
end of hyland trail	1
dingy beach	1
inside the cannon!	1
end of coast guard beach under a log in a fort	1
harrison loop trail between island cemetery and beacon hill rd	1
jim gaffney walk by fresh pond	1
greenway across from fresh pond	1
coastguard beach	1
rat island	1
the maze (north of clay head trail) in a hollowed tree limb	1
west beach in a tire	1
dorrys cove	1
rodman's hollow behind a trail sign	1
on beach behind dump in weeds	1
park across from block island power	1
sandy point , block island	1
